book,chapter,verse,text
Wisdom of Solomon,1,1,"Love righteousness, you that are rulers of the earth. Think of HWHY in goodness and seek Him in integrity of heart. 2 For He is found by those who do not try Him, And reveals Himself to those who do not distrust Him. 3 For perverse thoughts separate from Elohim, And His power, when it is tried, reproves the unwise. 4 For wisdom does not enter into a malicious being, Nor dwell in the body that is subject to sin. 5 For the qodesh spirit of discipline flees deceit, And turns away from thoughts that are without understanding, And does not remain when unrighteousness comes in. 6 For wisdom is a loving spirit, But a blasphemer shall not go unpunished for his words. For Elohim is witness of his kidneys, And a true watcher of his heart, and a hearer of his tongue. 7 For the Ruaḥ of HWHY fills the world, And that which sustains all knows what is said. 8 Therefore he who speaks unrighteous words is not hidden, Nor does vengeance pass him by when it punishes. 9 For a search shall be made into the counsels of the wicked, And the words of his voice shall come to HWHY to reveal his wicked deeds."
Wisdom of Solomon,1,10,"For a jealousy ear hears all words, And the sound of grumbling is not hidden."
Wisdom of Solomon,1,11,"Therefore beware of grumbling, which is useless, And keep your tongue from secrecy. For no secret word is without evil, And a lying mouth destroys the being. ḤAḴMAH 1068"
Wisdom of Solomon,1,12,"Do not seek death in the straying of your life, And do not pull destruction upon yourself with the works of your hands."
Wisdom of Solomon,1,13,"For Elohim did not make death, Nor does He delight in the destruction of the living."
Wisdom of Solomon,1,14,"For He created all to have their life; And the creations of the world were perfect, And no poison of destruction in them, Nor the reign of death upon the earth;"
Wisdom of Solomon,1,15,For righteousness is immortal.
Wisdom of Solomon,1,16,"But wicked men with their works and words called it to them, For when they thought to have it their friend, they perished to naught, And made a covenant with it, Because they deserve to receive a share in it."
Wisdom of Solomon,1,2,"For the wicked, reasoning with themselves, but not rightly said, “Our life is short and tedious, And of the death of a man there is no healing; Neither was there any man known to have returned from the grave. 2 “For we are all born by chance, And after this we shall be as though we had never been; For the breath of our nostrils is as smoke, And a little spark in the moving of our heart; 3 Which being extinguished, our body shall be turned into ashes, And our spirit shall vanish as the soft air. 4 “And our name shall be forgotten in time, And no man shall remember our works, And our life shall pass away as the traces of a cloud, And shall be dispersed as a mist, That is driven away with the rays of the sun, And overcome by its heat. 5 “For our time is but a shadow that passes away; And after our end there is no returning: For it is sealed up so that no man comes again. WISDOM OF SOLOMON 1069 6 “Come therefore, let us enjoy the good that is found, And let us hasten to use the creation as in youth. 7 “Let us fill ourselves with costly wine and ointments, And let no flower of the spring pass by us. 8 “Let us crown ourselves with rosebuds, before they wither. 9 “Let none of us go without his part of our luxuries; Let us leave signs of our joy in every place, For this is our portion, and this is our lot."
Wisdom of Solomon,1,10,"“Let us oppress the poor, righteous man; Let us not spare the widow, Nor regard the old grey hairs of the aged."
Wisdom of Solomon,1,11,"“Let our strength be the law of righteousness, For that which is feeble is found to be worthless."
Wisdom of Solomon,1,12,"“Therefore let us lie in wait for the righteous; For he is not for our way, and he is clearly opposed to our actions; He reproaches us with our guilt of the Law, And to our shame, accuses of the sins against our teaching."
Wisdom of Solomon,1,13,"“He professes to have the knowledge of Elohim, And calls himself the child of HWHY!"
Wisdom of Solomon,1,14,“He has become a reproof to our thoughts.
Wisdom of Solomon,1,15,"“He is a burden to us to even look at, For his life is not like other men, His ways are a different way."
Wisdom of Solomon,1,16,"“We are regarded by him as false, He abstains from our ways as from filthiness, He pronounces the end of the righteous to be baruḵ, And makes his boast that Elohim is his Father!"
Wisdom of Solomon,1,17,"“Let us see if his words are true, And let us prove what shall befall him in the end."
Wisdom of Solomon,1,18,"“For if the righteous man is the son of Elohim, He shall help him, and deliver him from the hand of his enemies. ḤAḴMAH 1070"
Wisdom of Solomon,1,19,"“Let us try him with mocking and torture, So that we may know his humility, And prove his patience."
Wisdom of Solomon,1,20,"“Let us condemn him with a shameful death; For by his own words, he shall be favoured.”"
Wisdom of Solomon,1,21,"Such as these they devised, and were deceived; For their own wickedness has blinded them."
Wisdom of Solomon,1,22,"As for the secrets of Elohim, they did not know them; Neither did they expect the wages of righteousness, Nor discern a reward for blameless lives."
Wisdom of Solomon,1,23,"For Elohim created man to be immortal, And made him to be an image of His own immortality."
Wisdom of Solomon,1,24,"Nevertheless death came into the world through envy of the devil, And those who hold to His side find it."
